Учетные номера автомобильных дорог;Наименование автомобильных дорог;Идентификационные номера автомобильных дорог;Учетные номера автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно;Наименования автомобильных дорог, которые могут применяться до 31 декабря 2017 г. включительно
М-1;"""Беларусь"" Москва - граница с Республикой Белоруссия ";00 ОП ФЗ М-1 (Е30, АН6, СНГ) ;М-1;"""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест); строящийся новый выход на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область); строящаяся Молодогвардейская транспортная развязка; строящаяся подъездная автомобильная дорога от 1-го Успенского шоссе до нового выхода на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область); строящаяся транспортная развязка на пересечении Подушкинского шоссе со строящимся новым выходом на Московскую кольцевую автомобильную дорогу с федеральной автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, на Брест) (Московская область)."
М-2;"""Крым"" Москва - Тула - Орел - Курск - Белгород - граница с Украиной ";00 ОП ФЗ М-2 (Е105, СНГ);М-2;"""Крым"" - от Москвы через Тулу, Орел, Курск, Белгород до границы с Украиной (на Харьков, Днепропетровск, Симферополь); Подъезды к городам Тула, Орел, Курск, Белгород; Подъезд к историко-архитектурному комплексу ""Одинцово""."
М-3;"""Украина"" Москва - Калуга - Брянск - граница с Украиной";00 ОП ФЗ М-3 (Е101, СНГ) ;М-3;"""Украина"" - от Москвы через Калугу, Брянск до границы с Украиной (на Киев) подъезды к городам Калуга, Брянск "
М-4;"""Дон"" Москва - Воронеж - Ростов-на-Дону - Краснодар - Новороссийск ";00 ОП ФЗ М-4 (Е50, Е97, Е115, Е592, СНГ) ;М-4;"""Дон"" - от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска "
М-5;"""Урал"" Москва - Рязань - Пенза - Самара - Уфа - Челябинск ";00 ОП ФЗ М-5 (Е30, АН6, АН7, СНГ) ;М-5;"""Урал"" - от Москвы через Рязань, Пензу, Самару, Уфу до Челябинска; подъезды к городам Рязань, Саранск, Пенза, Ульяновск, Самара, Оренбург, Уфа, Екатеринбург"
М-7;"""Волга"" Москва - Владимир - Нижний Новгород - Казань - Уфа ";00 ОП ФЗ М-7 (Е017, Е22, СНГ) ;М-7;"""Волга"" - от Москвы через Владимир, Нижний Новгород, Казань до Уфы; подъезды к городам Владимир, Иваново, Чебоксары, Ижевск и Пермь  "
М-8;"""Холмогоры"" Москва - Ярославль - Вологда - Архангельск ";00 ОП ФЗ М-8 (Е115, СНГ) ;М-8;"""Холмогоры"" - от Москвы через Ярославль, Вологду до Архангельска; подъезды к городам Кострома, Северодвинск; обход города Переславль-Залесский "
М-9;"""Балтия"" Москва - Волоколамск - граница с Латвийской Республикой ";00 ОП ФЗ М-9 (Е22, СНГ) ;М-9;"""Балтия"" - от Москвы через Волоколамск до границы с Латвийской Республикой (на Ригу) "
М-10;"""Россия"" Москва - Тверь - Великий Новгород - Санкт-Петербург ";00 ОП ФЗ М-10 (Е105, АН8, СНГ) ;М-10;"""Россия"" - от Москвы через Тверь, Новгород до Санкт-Петербурга; подъезды к городам Тверь, Новгород "
М-11;строящаяся скоростная автомобильная дорога Москва - Санкт-Петербург ;00 ОП ФЗ М-11 ;-;"строящаяся скоростная автомобильная дорога Москва - Санкт-Петербург; строящаяся Бусиновская транспортная развязка; строящийся подъезд от федеральной автомобильной дороги М-10 ""Россия"" - от Москвы через Тверь, Новгород до Санкт-Петербурга в районе Зеленограда к строящейся скоростной автомобильной дороге Москва - Санкт-Петербург (Московская область); строящаяся транспортная развязка на пересечении федеральной автомобильной дороги ""Московское малое кольцо"" через Икшу, Ногинск, Бронницы, Голицыно, Истру на участке от Ленинградского шоссе до Дмитровского шоссе со строящейся скоростной автомобильной дорогой Москва - Санкт-Петербург (Московская область) "
Р-21;"""Кола"" Санкт-Петербург - Петрозаводск - Мурманск - Печенга - граница с Королевством Норвегия ";00 ОП ФЗ Р-21 (Е105, СНГ);М-18;"""Кола"" - от Санкт-Петербурга через Петрозаводск, Мурманск, Печенгу до границы с Норвегией (международный автомобильный пункт пропуска ""Борисоглебск""); подъезд к г. Петрозаводску; подъезд к аэропорту города Мурманск; подъезд к аэропорту ""Петрозаводск "
Р-22;"""Каспий"" автомобильная дорога М-4 ""Дон"" - Тамбов - Волгоград - Астрахань ";00 ОП ФЗ Р-22 (Е38, Е40, Е119, АН8, АН61, АН70, СНГ) ;М-6;"""Каспий"" - из Москвы (от Каширы) через Тамбов, Волгоград до Астрахани подъезды к городам Тамбов, Саратов, Элиста "
Р-23;Санкт-Петербург - Псков - Пустошка - Невель - граница с Республикой Белоруссия ;00 ОП ФЗ Р-23 (Е95, СНГ);М-20;Санкт-Петербург - Псков - Пустошка - Невель до границы с Республикой Беларусь протяженностью 368,5 км 
Р-56;Великий Новгород - Сольцы - Порхов - Псков ;00 ОП ФЗ Р-56 ;А-116, 1P 56;Новгород - Псков (через Сольцы, Порхов) 
Р-92;Калуга - Перемышль - Белев - Орел ;00 ОП ФЗ Р-92 ;1P 92;Калуга - Перемышль - Белев - Орел 
Р-119;Орел - Ливны - Елец - Липецк - Тамбов ;00 ОП ФЗ Р-119 (СНГ) ;1P 119;Орел - Ливны - Елец - Липецк - Тамбов 
Р-120;Орел - Брянск - Смоленск - граница с Республикой Белоруссия ;00 ОП ФЗ Р-120 (СНГ) ;А-141;"Орел - Брянск до магистрали ""Украина""; Брянск - Смоленск до границы с Республикой Беларусь (через Рудню на Витебск); подъезд к городу Смоленск"
Р-132;Калуга - Тула - Михайлов - Рязань ;00 ОП ФЗ Р-132 ;1P 132;"Калуга - Тула - Михайлов - Рязань; обход города Калуга от М-3 ""Украина "
Р-158;Нижний Новгород - Арзамас - Саранск - Исса - Пенза - Саратов ;00 ОП ФЗ Р-158 ;1P 158;Нижний Новгород - Саратов (через Арзамас, Саранск, Иссу, Пензу) 
Р-176;"""Вятка"" Чебоксары - Йошкар-Ола - Киров - Сыктывкар ";00 ОП ФЗ Р-176 (СНГ) ;-;"""Вятка"" - от Чебоксар через плотину Чебоксарской ГЭС на Йошкар-Олу, Киров до Сыктывкара; подъезд к городу Киров "
Р-178;Саранск - Сурское - Ульяновск ;00 ОП ФЗ Р-178 ;1P 178;Саранск - Сурское - Ульяновск 
Р-193;Воронеж - Тамбов ;00 ОП ФЗ Р-193 ;lР 193;Воронеж - Тамбов 
Р-208;Тамбов - Пенза ;00 ОП ФЗ Р-208 (СНГ) ;1P 208, 1P 209;Тамбов - Пенза 
Р-215;Астрахань - Кочубей - Кизляр - Махачкала ;00 ОП ФЗ Р-215 (Е119, Е50, АН8, СНГ) ;-;Астрахань - Кочубей - Кизляр - Махачкала 
Р-216;Астрахань - Элиста - Ставрополь ;00 ОП ФЗ Р-216 ;А-154;Астрахань - Элиста - Ставрополь 
Р-217;"""Кавказ"" автомобильная дорога М-4 ""Дон"" - Владикавказ - Грозный - Махачкала - граница с Азербайджанской Республикой ";00 ОП ФЗ Р-217 (Е50, Е117, Е119, АН8, СНГ) ;М-29;"""Кавказ"" - из Краснодара (от Павловской); через Грозный, Махачкалу до границы с Азербайджанской Республикой (на Баку); подъезды к городам Майкоп, Ставрополь, Черкесск, Владикавказ, Грозный, Махачкала, Магас "
Р-228;Сызрань - Саратов - Волгоград ;00 ОП ФЗ Р-228 (СНГ) ;1P 228;Сызрань - Саратов - Волгоград 
Р-239;Казань - Оренбург - Акбулак - граница с Республикой Казахстан подъезд к аэропорту Казань ;00 ОП ФЗ Р-239;-;"Казань - Оренбург - Акбулак до границы с Республикой Казахстан; подъезд к аэропорту Казань "
Р-240;Уфа - Оренбург ;00 ОП ФЗ Р-240 ;-;Уфа - Оренбург и Западный обход г. Уфы 
Р-241;Казань - Буинск - Ульяновск ;00 ОП ФЗ Р-241 ;1P 241;Казань - Буинск - Ульяновск 
Р-242;Пермь - Екатеринбург;00 ОП ФЗ Р-242 (Е22, СНГ) ;1P 242;Пермь - Екатеринбург 
Р-243;Кострома - Шарья - Киров - Пермь ;00 ОП ФЗ Р-243 ;-;Кострома - Шарья - Киров - Пермь
Р-254;"""Иртыш"" Челябинск - Курган - Омск - Новосибирск ";00 ОП ФЗ Р-254 (Е30, АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск; транзитный участок, проходящий по территории города Усолье-Сибирское "
Р-255;"""Сибирь"" Новосибирск - Кемерово - Красноярск - Иркутск ";00 ОП ФЗ Р-255 (АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск; транзитный участок, проходящий по территории города Усолье-Сибирское "
Р-256;"""Чуйский тракт"" Новосибирск - Барнаул - Горно-Алтайск - граница с Монголией  ";00 ОП ФЗ Р-256 (АН4, СНГ) ;М-52;"""Чуйский тракт"" - от Новосибирска через Бийск до границы с Монголией; подъезды к городам Барнаул, Горно-Алтайск  "
Р-257;"Енисей"" Красноярск - Абакан - Кызыл - Чадан - Хандагайты - граница с Монголией ";00 ОП ФЗ Р-257 (СНГ) ;М-54;"""Енисей"" - от Красноярска через Абакан, Кызыл, Чадан, Хандагайты до границы с Монголией "
Р-258;"""Байкал"" Иркутск - Улан-Удэ - Чита ";00 ОП ФЗ Р-258 (АН6, СНГ) ;М-51, М-53, М-55;"""Байкал"" - от Челябинска через Курган, Омск, Новосибирск, Кемерово, Красноярск, Иркутск, Улан-Удэ до Читы; подъезды к городам Тюмень, Томск "
Р-297;"""Амур"" Чита - Невер - Свободный - Архара - Биробиджан - Хабаровск ";00 ОП ФЗ Р-297 (АН30, АН31, СНГ) ;-;"""Амур"" - строящаяся дорога от Читы через Невер, Свободный, Архару, Биробиджан до Хабаровска; подъезд к городу Благовещенск "
Р-298;"Курск - Воронеж - автомобильная дорога Р-22 ""Каспий"" ";00 ОП ФЗ Р-298 (Е38, АН61, СНГ) ;А-144;"Курск - Воронеж - Борисоглебск до магистрали ""Каспий"" "
Р-351;Екатеринбург - Тюмень ;00 ОП ФЗ Р-351 (Е22, СНГ) ;1P 351;Екатеринбург - Тюмень 
Р-354;Екатеринбург - Шадринск - Курган ;00 ОП ФЗ Р-354 ;1P 354;Екатеринбург - Шадринск - Курган
Р-402;Тюмень - Ялуторовск - Ишим - Омск ;00 ОП ФЗ Р-402 (Е22, Е30, СНГ) ;1P 402;Тюмень - Ялуторовск - Ишим - Омск 
Р-404;Тюмень - Тобольск - Ханты-Мансийск ;00 ОП ФЗ Р-404 ;-;Тюмень - Ханты-Мансийск через Тобольск, Сургут, Нефтеюганск 
Р-504;"""Колыма"" Якутск - Магадан ";00 ОП ФЗ Р-504 ;-;"""Колыма"" - строящаяся дорога от Якутска до Магадана "
Р-600;Кострома - Иваново ;00 ОП ФЗ Р-600 ;А-113 ;Кострома - Иваново Приволжск - Плес - Миловка - Усадьба Черневых (Усадьба Миловка) 
А-103;"""Щелковское шоссе"" Москва - Щелково - автомобильная дорога А-107 ""Московское малое кольцо"" ";00 ОП ФЗ А-103 ;А-103;Щелковское шоссе до пересечения с Московским малым кольцом (с подъездами к г. Щелково и Звездному городку) 
А-104;Москва - Дмитров - Дубна ;00 ОП ФЗ А-104 ;А-104;Москва - Дмитров - Дубна 
А-105;подъездная дорога от Москвы к аэропорту Домодедово ;00 ОП ФЗ А-105 ;-;"подъезд к аэропорту Домодедово от автомобильной дороги ""Дон"" (М-4) "
А-106;Рублево-Успенское шоссе ;00 ОП ФЗ А-106 ;-;Рублево-Успенское шоссе 
А-107;"""Московское малое кольцо"" Икша - Ногинск - Бронницы - Голицыно - Истра - Икша ";00 ОП ФЗ А-107 ;-;Московское малое кольцо через Икшу, Ногинск, Бронницы, Голицыно, Истру 
А-108;"""Московское большое кольцо"" Дмитров - Сергиев Посад - Орехово-Зуево - Воскресенск - Михнево - Балабаново - Руза - Клин - Дмитров ";00 ОП ФЗ А-108 ;-;"Московское большое кольцо через Дмитров, Сергиев Посад, Орехово-Зуево, Воскресенск, Михнево, Балабаново, Рузу, Клин (с подъездом к государственному комплексу ""Таруса"" и проездами по его территории) "
А-109;Ильинское шоссе ;00 ОП ФЗ А-109 ;-;Ильинское шоссе (со спецподъездами) 
А-110;"подъездная дорога от автомобильной дороги А-108 ""Московское большое кольцо"" к объекту ""Семеновское"" ";00 ОП ФЗ А-110 ;-;"подъезд от Московского большого кольца (участок Каширо-Симферопольского перегона) к объекту ""Семеновское"" с проездами по его территории "
А-111;"подъездная дорога от автомобильной дороги М-10 ""Россия"" к государственному комплексу ""Завидово"" ";00 ОП ФЗ А-111 ;-;"подъезд к государственному комплексу ""Завидово"" (с проездами по его территории) от автомобильной дороги ""Россия"" (М-10) "
А-112;Чепелево - Вельяминово ;00 ОП ФЗ А-112 ;-;Чепелево - Вельяминово 
А-113;строящаяся Центральная кольцевая автомобильная дорога (Московская область) ;00 ОП ФЗ А-113 ;-;строящаяся Центральная кольцевая автомобильная дорога (Московская область) 
А-114;"Вологда - Тихвин - автомобильная дорога Р-21 ""Кола"" ";00 ОП ФЗ А-114 (СНГ) ;А-114;"Вологда - Новая Ладога до магистрали ""Кола"" (через Тихвин) "
А-118;Кольцевая автомобильная дорога вокруг г. Санкт-Петербурга ;00 ОП ФЗ А-118 ;-;"первая очередь строящейся кольцевой автомобильной дороги вокруг г. Санкт-Петербурга от Приморского шоссе до Московского шоссе; вторая очередь строящейся кольцевой автомобильной дороги вокруг г. Санкт-Петербурга от Московского шоссе до станции Бронка "
А-119;"Вологда - Медвежьегорск - автомобильная дорога Р-21 ""Кола"" ";00 ОП ФЗ ;А-119;"Вологда - Медвежьегорск до пересечения с автомобильной дорогой ""Кола"" "
А-120;"""Санкт-Петербургское южное полукольцо"" Кировск - Мга - Гатчина - Большая Ижора ";00 ОП ФЗ А-120 ;-;Санкт-Петербургское южное полукольцо через Кировск, Мгу, Гатчину, Большую Ижору 
А-121;"""Сортавала"" Санкт-Петербург - Сортавала - автомобильная дорога Р-21 ""Кола"" ";00 ОП ФЗ А-121 ;-;автомобильная дорога от Санкт-Петербурга через Приозерск, Сортавалу до Петрозаводска, включающая строящийся участок от Кольцевой автомобильной дороги вокруг г. Санкт-Петербурга через Скотное до автомобильной дороги Магистральная 
А-130;Москва - Малоярославец - Рославль - граница с Республикой Белоруссия ;00 ОП ФЗ А-130 ;А-101;Москва - Малоярославец - Рославль до границы с Республикой Беларусь (на Бобруйск, Слуцк) 
А-131;Исключена с 1 июля 2013 г. ;-;-;-
А-132;"подъездная дорога от автомобильной дороги М-1 ""Беларусь"" к г. Смоленску ";00 ОП ФЗ А-132 ;-;"подъезд от автомобильной дороги М-1 ""Беларусь"" - от Москвы до границы с Республикой Беларусь (на Минск, Брест) к городу Смоленск "
А-133;"подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Липецку ";00 ОП ФЗ А-133 ;-;"подъезды от автомобильной дороги М-4 ""Дон"" - от Москвы через Воронеж, Ростов-на-Дону, Краснодар до Новороссийска к городам Липецк, Воронеж, Ростов-на-Дону, Краснодар "
А-134;"подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Воронежу ";00 ОП ФЗ А-134 ;-;-
А-135;"подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Ростову-на-Дону ";00 ОП ФЗ А-135 ;-;-
А-136;"подъездная дорога от автомобильной дороги М-4 ""Дон"" к г. Краснодару ";00 ОП ФЗ А-136 ;-;-
А-142;Тросна - Калиновка ;00 ОП ФЗ А-142 (Е391, СНГ) ;А-142;Тросна - Калиновка 
А-146;Краснодар - Верхнебаканский ;00 ОП ФЗ А-146 (Е115) ;-;Краснодар - Новороссийск (до Верхнебаканского) 
А-147;Джубга - Сочи - граница с Республикой Абхазия;00 ОП ФЗ А-147 (Е97, СНГ) ;М-27;Джубга - Сочи до границы с Республикой Грузия (на Тбилиси, Баку) 
А-148;"""Дублер Курортного проспекта"" от 172-го километра федеральной автомобильной дороги А-147 Джубга - Сочи - граница с Республикой Абхазия до обхода г. Сочи ";00 ОП ФЗ А-148 ;-;"Центральная автомагистраль г. Сочи; ""Дублер Курортного проспекта"", строящаяся от 172-го километра федеральной автомобильной дороги М-27 Джубга - Сочи (р. Псахе) до начала обхода г. Сочи (р. Агура) "
А-149;Адлер - Красная Поляна ;00 ОП ФЗ А-149 ;-;Адлер (автомобильная дорога Джубга - Сочи) - Красная Поляна 
А-151;Цивильск - Ульяновск;00 ОП ФЗ А-151 (СНГ) ;А-151;Цивильск - Ульяновск 
А-153;Нытва - Кудымкар ;00 ОП ФЗ А-153 ;1P 344;Нытва - Кудымкар 
А-154;Урвань - Верхняя Балкария - Уштулу ;00 ОП ФЗ А-154 ;-;"Урвань (автомобильная дорога ""Кавказ"") - Уштулу через Верхнюю Балкарию "
А-155;Черкесск - Домбай - граница с Республикой Абхазия;00 ОП ФЗ А-155 ;А-155;"Черкесск - Домбай до границы с Республикой Грузия с подъездами к международному центру отдыха ""Архыз"" и к специализированной астрофизической обсерватории Российской академии наук "
А-156;"подъездная дорога от автомобильной дороги А-155 Черкесск - Домбай - граница с Республикой Абхазия к международному центру отдыха ""Архыз"" и к специализированной астрофизической обсерватории Российской академии наук ";00 ОП ФЗ А-156 ;А-155;"Черкесск - Домбай до границы с Республикой Грузия с подъездами к международному центру отдыха ""Архыз"" и к специализированной астрофизической обсерватории Российской академии наук "
А-157;Минеральные Воды (аэропорт) - Кисловодск ;00 ОП ФЗ А-157 ;А-157;Минеральные Воды (аэропорт) - Кисловодск 
А-158;Прохладный - Баксан - Эльбрус ;00 ОП ФЗ А-158 ;-;Прохладный - Эльбрус через Баксан 
А-159;подъездная дорога от г. Майкопа к Кавказскому государственному биосферному заповеднику ;00 ОП ФЗ А-159 ;-;подъезд к Кавказскому государственному биосферному заповеднику от Майкопа через Гузерипль 
А-160;Майкоп - Усть-Лабинск - Кореновск ;00 ОП ФЗ А-160 ;1P 253;Майкоп - Усть-Лабинск - Кореновск 
А-161;Владикавказ - Нижний Ларс - граница с Грузией ;00 ОП ФЗ А-161 (Е117, СНГ);-;Владикавказ - Нижний Ларс до границы с Республикой Грузия 
А-162;Владикавказ - Алагир;00 ОП ФЗ А-162 ;-;Владикавказ - Алагир 
А-163;"подъездная дорога от автомобильной дороги Р-217 ""Кавказ"" к аэропорту г. Владикавказа ";00 ОП ФЗ А-163 ;-;подъезд к аэропорту г. Владикавказа 
А-164;"""Транскам"" Карджин - Алагир - Нижний Зарамаг - граница с Республикой Южная Осетия ";00 ОП ФЗ А-164 ;-;"Алагир (автомобильная дорога ""Кавказ"") - Нижний Зарамаг до границы с Республикой Грузия "
А-165;Лермонтов - Черкесск ;00 ОП ФЗ А-165 ;А-156;Лермонтов - Черкесск 
А-167;Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды ;00 ОП ФЗ А-167 (Е50, СНГ) ;-;Кочубей - Нефтекумск - Зеленокумск - Минеральные Воды 
А-180;"""Нарва"" Санкт-Петербург - граница с Эстонской Республикой ";00 ОП ФЗ А-180 (Е20, СНГ) ;М-11;"""Нарва"" - от Санкт-Петербурга до границы с Эстонской Республикой (на Таллин); подъезд к морскому торговому порту Усть-Луга (через Керстово, Котлы, Косколово) "
А-181;"""Скандинавия"" Санкт-Петербург - Выборг - граница с Финляндской Республикой ";00 ОП ФЗ А-181 (Е18, АН8, СНГ) ;М-10;"""Скандинавия"" - от Санкт-Петербурга через Выборг до границы с Финляндией "
А-212;Псков - Изборск - граница с Эстонской Республикой ;00 ОП ФЗ А-212 (Е77) ;А-212;Псков - Изборск до границы с Эстонской Республикой (на Ригу) 
А-216;Гвардейск - Неман - граница с Литовской Республикой ;00 ОП ФЗ А-216 (Е77, СНГ) ;А-216;Гвардейск - Неман до границы с Литовской Республикой (через Шяуляй, Елгаву на Ригу) 
А-217;"""Приморское полукольцо"" Калининград - Светлогорск ";00 ОП ФЗ А-217 ;-;"""Приморское полукольцо"" с подъездами к аэропорту Храброво, гг. Зеленоградску, Пионерскому и Светлогорску "
А-229;Калининград - Черняховск - Нестеров - граница с Литовской Республикой ;00 ОП ФЗ А-229 (Е28, Е77, СНГ) ;А-229;"Калининград - Черняховск - Нестеров до границы с Литовской Республикой (на Вильнюс, Минск, магистраль ""Беларусь"") "
А-240;Брянск - Новозыбков - граница с Республикой Белоруссия ;00 ОП ФЗ А-240 (РЕ9А, СНГ) ;М-13;Брянск - Новозыбков до границы с Республикой Беларусь (на Гомель, Пинск, Кобрин) 
А-260;Волгоград - Каменск-Шахтинский - граница с Украиной ;00 ОП ФЗ А-260 (Е40, АН70, СНГ) ;М-21;Волгоград - Каменск-Шахтинский до границы с Украиной (на Днепропетровск, Кишинев) 
А-270;"автомобильная дорога М-4 ""Дон"" - Новошахтинск - граница с Украиной ";00 ОП ФЗ А-270 (Е50, СНГ) ;М-19;"Новошахтинск - Майский (из Киева через Полтаву, Харьков) от границы с Украиной до Магистрали ""Дон"" "
А-280;Ростов-на-Дону - Таганрог - граница с Украиной ;00 ОП ФЗ А-280 (Е58, СНГ) ;М-23;Ростов-на-Дону - Таганрог до границы с Украиной (на Харьков, Одессу) 
А-290;Новороссийск -Керчь ;00 ОП ФЗ А-290 (Е97, Е115, СНГ) ;М-25;Новороссийск -Керчь (на Симферополь) подъезды к морским портам Кавказ и Тамань 
А-295;"Йошкар-Ола - Зеленодольск - автомобильная дорога М-7 ""Волга"" ";00 ОП ФЗ А-295 ;1P 175;"Йошкар-Ола - Зеленодольск до магистрали ""Волга"" "
А-300;Самара - Большая Черниговка - граница с Республикой Казахстан ;00 ОП ФЗ А-300 (Е121, АН63, СНГ) ;М-32;Самара - Большая Черниговка до границы с Республикой Казахстан (на Уральск, Актюбинск, Кзыл-Орду, Чимкент) 
А-305;Оренбург - Илек - граница с Республикой Казахстан ;00 ОП ФЗ А-305 ;1P 335;Оренбург - Илек до границы с Республикой Казахстан (на Уральск) 
А-310;Челябинск - Троицк - граница с Республикой Казахстан ;00 ОП ФЗ А-310 (Е123, АН7, СНГ) ;М-36;Челябинск - Троицк до границы с Республикой Казахстан (на Кустанай, Караганду, Балхаш, Алма-Ату) 
А-320;Омск - Черлак - граница с Республикой Казахстан ;00 ОП ФЗ А-320 (Е127, АН60, СНГ) ;М-38;Омск - Черлак до границы с Республикой Казахстан (на Павлодар, Семипалатинск, Майкапчигай) 
А-322;Барнаул - Рубцовск - граница с Республикой Казахстан ;00 ОП ФЗ А-322 (АН64, СНГ) ;-;Барнаул - Рубцовск до границы с Республикой Казахстан (на Семипалатинск) 
А-331;"""Вилюй"" Тулун - Братск - Усть-Кут - Мирный - Якутск ";00 ОП ФЗ А-331 ;-;"""Вилюй"" - автомобильная дорога, строящаяся от автомобильной дороги М-53 ""Байкал"" через Братск, Усть-Кут, Мирный до Якутска "
А-332;Исключена с 1 января 2012 г. ;-;-;-
А-333;Култук - Монды - граница с Монголией ;00 ОП ФЗ А-333 (СНГ) ;-;Култук - Монды 
А-340;Улан-Удэ - Кяхта - граница с Монголией ;00 ОП ФЗ А-340 (АН3, СНГ) ;-;"Улан-Удэ (автомобильная дорога ""Байкал"") - Кяхта до границы с Монголией "
А-350;Чита - Забайкальск - граница с Китайской Народной Республикой ;00 ОП ФЗ А-350 (АН6, СНГ) ;А-166;Чита - Забайкальск до границы с Китайской Народной Республикой 
А-360;"""Лена"" Невер - Якутск ";00 ОП ФЗ А-360 (СНГ) ;М-56;"""Лена"" - от Невера до Якутска "
А-361;"подъездная дорога от автомобильной дороги А-360 ""Лена"" к границе с Китайской Народной Республикой ";00 ОП ФЗ А-361 (СНГ) ;-;"подъезд к границе с Китайской Народной Республикой (с. Джалинда) от автомобильной дороги ""Лена"" (М-56) "
А-370;"""Уссури"" Хабаровск - Владивосток ";00 ОП ФЗ А-370 (АН6, АН30, СНГ) ;М-60;"""Уссури"" - от Хабаровска до Владивостока "
А-371;Владивосток - остров Русский ;00 ОП ФЗ А-371 ;-;Владивосток - остров Русский 
А-375;"""Восток"" Хабаровск - Красный Яр - Ариадное - Чугуевка - Находка ";00 ОП ФЗ А-375 ;-;"""Восток"" - строящаяся автомобильная дорога от г. Хабаровска через населенные пункты Красный Яр, Ариадное и Чугуевка до г. Находки "
А-381;подъездная дорога от г. Нарьян-Мара к аэропорту Нарьян-Мара ;00 ОП ФЗ А-381 ;-;автомобильные подъезды до аэропорта, морского, речного порта, железнодорожной станции от городов Петропавловск-Камчатский, Анадырь, Дудинка, Нарьян-Мар 
А-382;подъездная дорога от г. Дудинки к аэропорту Алыкель ;00 ОП ФЗ А-382 ;-;-
А-383;подъездная дорога от поселка городского типа Тура к аэропорту Тура (Горный) ;00 ОП ФЗ А-383 ;-;-
А-384;подъездная дорога от г. Анадыря к аэропорту Анадыря (Угольный) ;00 ОП ФЗ А-384 ;-;-
А-391;Южно-Сахалинск - Корсаков ;00 ОП ФЗ А-391 ;1P 488;Южно-Сахалинск - Корсаков 
А-392;Южно-Сахалинск - Холмск ;00 ОП ФЗ А-392 ;-;Южно-Сахалинск - Холмск 
А-401;подъездная дорога от морского порта Петропавловск-Камчатский к аэропорту Петропавловск-Камчатский (Елизово) ;00 ОП ФЗ А-401 ;-;Петропавловск-Камчатский - морской порт 
